Kanji	On	Kun
訓	kun	–
試	shi	kokoromi-ru;tame-su
説	setsu	to-ku
課	ka	–
議	gi	–
象	zou;shou	–
貨	ka	–
貯	cho	ta-meru
費	hi	tsui-yasu
賞	shou	–
軍	gun	–
輪	rin	wa
辞	ji	ya-meru
辺	hen	ata-ri
連	ren	tsu-reru;tsura-neru
達	tatsu;tachi;dachi	tachi;tashi;too-ru;todo-ku
選	sen	era-bu
郡	gun;kun	kouri
量	ryou	–
録	roku	–
鏡	kyou	kagami
関	kan	seki
陸	riku	–
隊	tai	–
静	sei	shizu-ka
順	jun	–
願	gan	nega-u
類	rui	–
飛	hi	to-bu
飯	han	meshi
養	you	yashina-u
験	ken	–
久	kyuu;ku	hisa-shii
仏	hutsu;butsu	hotoke
仮	ka;ke	kari
件	ken	–
任	nin	maka-seru
似	ji;shi	ni-ru;goto-shi
余	yo	ama-ru
価	ka	atai
保	ho	tamo-tsu
修	shuu	osa-meru
俵	hyou	tawara
個	ko	–
備	bi	sona-eru
像	zou	–
再	sai;sa	futata-bi
刊	kan	–
判	han	waka-ru
制	sei	–
券	ken	–
則	soku	notto-ru
効	kou	ki-ku
務	mu	tsuto-meru
勢	sei	ikio-i
厚	kou	atsu-i
句	ku	–
可	ka	–
営	ei	itona-mu
因	in	yo-ru
団	dan;ton	–
圧	atsu	–
在	zai	a-ru
均	kin	–
基	ki	moto-duku
報	hou	muku-iru
境	kyou	sakai
墓	bo	haka
増	zou	ma-su;fu-eru
夢	mu	yume
妻	sai	tsuma
婦	fu	–
容	you	–
寄	ki	yo-ru
富	fu	tomi
導	dou	michibi-ku
居	kyo	i-ru
属	zoku	–
布	fu	nuno
師	shi	–
常	jou	tsune
幹	kan	miki
序	jo	–
弁	ben	–
張	chou	ha-ru;ba
往	ou	–
復	fuku	kae-su;kae-ru;futata-bi;mata;sa-ratsu
徳	toku	–
志	shi	kokorozashi
応	ou	kota-eru;masa-ni
快	kai	kokoroyo-i
性	seishou	saga
恩	on	–
情	jou	nasa-ke
態	tai	–
慣	kan	na-reru
承	shou	uketamawa-ru
技	gi	waza
招	shou	mane-ku
授	ju	sazu-keru
採	sai	to-ru
接	setsu	ses-suru;tsu-gu
提	tei	sa-geru
損	son	soko-neru
支	shi	sasa-eru;ka-u;tsuka-eru;to
政	sei	matsurigoto
故	ko	yue
敵	teki	kataki
断	dan	ta-tsu;kotowa-ru
旧	kyuu	–
易	eki	yasa-shii
暴	bou	aba-ku
条	jou	–
枝	shi	eda
査	sa	–
格	kaku	–
桜	ou	sakura
検	ken	–
構	kou	kama-eru
武	bu;mu	–
比	hi	kura-beru
永	ei	naga-i
河	ka	kawa
液	eki	–
混	kon	ma-zaru
減	gen	he-ru
測	soku	haka-ru
準	jun	–
演	en	–
潔	ketsu	isagiyo-i
災	sai	wazawa-i
燃	nen	mo-eru
版	han	–
犯	han	oka-su
状	jou	–
独	doku	hito-ri
率	ritsu;sotsu	hiki-iru
現	gen	arawa-reru
留	ryuu ru	todo-maru
略	ryaku	–
益	eki	–
眼	gan	me
破	ha	yabu-ru
確	kaku	tashi-ka
示	shi	shime-su
祖	so	–
禁	kin	–
移	i	utsu-ru
程	tei	hodo
税	zei	–
築	chiku	kizu-ku
精	sei	–
素	su;so	moto
経	kei;kyou	he-ru
統	tou	su-beru
絶	zetsu	ta-tsu
綿	men	wata
総	sou	–
編	hen	a-mu
績	seki	–
織	shiki	o-ru
罪	zai	tsumi
群	gun	mu-reru
義	gi	–
耕	kou	tagaya-su
職	shoku	–
肥	hi	ko-yasu
能	nou	–
興	kyou	oko-su
舌	zetsu	shita
舎	sha	–
術	jutsu	sube
衛	ei	–
製	sei	–
複	fuku	–
規	ki	–
解	ge;kai	to-ku
設	setsu	mouke-ru
許	kyo	yuru-su
証	shou	akashi
評	hyou	–
講	kou	–
謝	sha	ayama-ru
識	shiki	–
護	go	mamo-ru
豊	hou	yuta-ka
財	zai	–
貧	hin	mazushi-i
責	seki	se-meru
貸	tai	ka-su
貿	bou	–
賀	ga	–
資	shi	–
賛	san	–
質	shitsu	–
輸	yu	–
述	jutsu	no-beru
迷	mei	mayo-u
退	tai	shirizo-ku
逆	gyaku	sakara-u
造	zou	tsuku-ru
過	ka	ayama-chi;su-gi
適	teki	–
酸	san	–
鉱	kou	–
銅	dou	–
銭	sen	zeni
防	bou	fuse-gu
限	gen	kagi-ru
険	ken	kewa-shii
際	sai	kiwa
雑	zatsu	–
非	hi	ara-zu
預	yo	azu-keru
領	ryou	–
額	gaku	hitai
飼	shi	ka-u
並	hei	nami;nara-bu
乱	ran	mida-reru
乳	nyuu	chichi
亡	bou	na-kunaru
仁	jin	–
供	kyou;ku	tomo;domo;sona-eru
俳	hai	–
値	chi;choku	ne;atai;a-u
傷	shou	kizu
優	yuu	yasa-shii
党	tou	–
冊	satsu	–
処	sho	–
刻	koku	kiza-mu
