Kanji	On	Kun
賃	chin	-
遺	i	-
郵	yū	-
郷	kyou	gou
針	shin	hari
鋼	kou	hagane
閉	hei	shi-meru
閣	kaku	-
降	kou	o-riru
陛	hei	-
除	jo;ji	nozo-ku
障	shou	sawa-ru
難	nan	muzuka-shii
革	kaku	kawa
頂	chou	itada-ku
骨	kotsu	hone
